artifact_version,ensemble_name,member_index,member,feature_space,feature_selection,n_genes,decision_threshold,feature_index,feature_type,feature_id,symbol,tissue_category,scaler_mean,scaler_scale,coef_msi,intercept_msi
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,60,sample_gene_z,OSBPL2,OSBPL2,,0.8991977169207008,0.1494405142592859,-0.005345896749802147,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,61,sample_gene_z,GAS2L1,GAS2L1,,0.34371526089610355,0.368974479998875,-0.20985601041167362,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,62,sample_gene_z,GABRE,GABRE,,-0.25428035601695104,0.618838173115872,-0.32921997945465187,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,63,sample_gene_z,KALRN,KALRN,,0.4323936074251558,0.323159767507484,0.07865221565818178,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,64,sample_gene_z,B3GNT4,B3GNT4,,-1.2951812338355648,0.5993636894878299,0.7497422490625181,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,65,sample_gene_z,TAF4,TAF4,,0.5072633494498987,0.15873069022832853,0.10113220572170895,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,66,sample_gene_z,C7orf31,C7orf31,,-0.46174528462747877,0.32159188208413897,-0.28222721395932066,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,67,sample_gene_z,PRAP1,PRAP1,,-0.053305605803410136,1.096760810195393,-0.39917291483784223,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,68,sample_gene_z,C8orf45,C8orf45,,-0.9527208425396329,0.36984122549307946,-0.30278715384792193,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,69,sample_gene_z,TFAP2A,TFAP2A,,-0.1733461058961829,0.9179402507032378,0.5056724131795067,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,70,sample_gene_z,C19orf23,C19orf23,,-1.172355006311637,0.4234499941019479,0.2714319500627551,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,71,sample_gene_z,SCN8A,SCN8A,,-1.1016413994069556,0.49383668504778805,0.18539642105144993,-3.812263821134212
1,mmr_expression_practical_ensemble,0,mmr_effect@150,sample_gene_z,mmr_effect,150,0.5,72,sample_gene_z,KCNRG,KCNRG,,-1.1635241115427675,0.5959106412191549,0.7020477139078367,-3.812263821134212
